user_id,user_name,tweet_id,tweet_text,retweet_count,orig_tweet_id,orig_tweeter_name,orig_tweeter_id,positive_words,negative_words
755297150,Army Vet Chic,256186531004424192,"RT @fredthompson: Obama staff blaming Kerry for inadequate debate prep. Guys, don't blame the jockey if your Shetland pony can't win the ...",225,256167551241957377,Fred Thompson,2704951,win,debate
755297150,Army Vet Chic,260769198530252800,"RT @SpeakerBoehner: Yes, Obama @WhiteHouse proposed the ‘sequester,' &amp; neither POTUS nor Senate Dems have a plan to solve it http:// ...",122,260757069488074753,Speaker John Boehner,7713202,NONE,NONE
453965455,David Stearns,255884746612158464,"RT @MarkeyMemo: .@MittRomney attacks @PBS in #debate. He wants to cut Big Bird, but let Big Oil keep $40 billion in tax breaks. #outrageous",60,253669545934471168,Ed Markey,21406834,NONE,cut
453965455,David Stearns,256107857039204352,"RT @MicheleBachmann: If you are interested in watching the House Oversight Committee hearing on #Libya, it is streaming live now: http:/ ...",85,256063228277317633,Michele Bachmann,18217624,NONE,NONE
453965455,David Stearns,256232209478991872,RT @elizabethforma: Brown opposed keeping student interest rates low to protect a loophole used by wealthy to avoid paying taxes http:// ...,99,256171767696076800,Elizabeth Warren,357606935,low,interest
453965455,David Stearns,256366996554391553,RT @clairecmc: Honored these women help explain Todd Akin's extreme views. http://t.co/OH2wkXa6. http://t.co/JRHMcRed. http://t.co/3etN ...,52,256135640150855680,Claire McCaskill,16160352,extreme,NONE
453965455,David Stearns,256610123517161472,"RT @DWStweets: @JoeBiden showed us why @BarackObama chose him as VP. Had facts, experience, gravitas-@PaulRyanVP chose deception over de ...",147,256600509656489984,D Wasserman Schultz,115979444,NONE,NONE
453965455,David Stearns,256774005162389504,"RT @SenatorReid: We could move faster if Republicans dropped obstruction, yet Sen. McConnell said his ‘single most important’ goal was d ...",373,254220960264249344,Senator Harry Reid,16789970,goal&move,NONE
453965455,David Stearns,256779984386007040,"RT @NancyPelosi: Moments ago, for the 4th time during this recess, #DoNothingGOP refused Democrats’ request to get back to work. http:// ...",592,254233235947667457,Nancy Pelosi,15764644,NONE,NONE
453965455,David Stearns,257427900964429825,RT @NancyPelosi: Paul Ryan's budget ends the Medicare guarantee and shift costs to seniors simply to give tax breaks to the wealthiest A ...,735,234307991149625345,Nancy Pelosi,15764644,NONE,NONE
453965455,David Stearns,257973018029076480,"RT @RyanSeacrest: Just chatted w/ @MichelleObama, airs tomorrow on @TodayShow. Her guilty pleasure on the road? Reese's. http://t.co/GVz ...",74,257930170520965121,Ryan Seacrest,16190898,pleasure,guilty
453965455,David Stearns,258016060706545664,"RT @Tammy4Congress: VP Biden is right: the Ryan plan, which Joe Walsh voted for 3 times, jeopardizes Medicare and makes seniors pay more ...",69,256572078617133056,Tammy Duckworth,328679423,NONE,NONE
453965455,David Stearns,258213018209488896,RT @elizabethforma: So proud to receive the endorsement of President @BarackObama today! http://t.co/yW63BhRL #masen,51,258210612197347328,Elizabeth Warren,357606935,NONE,NONE
453965455,David Stearns,258672216672174081,RT @SenSanders: Today the Walton family of Walmart own more wealth than the bottom 40% of America. http://t.co/4Ia81M5B,165,258626564554629120,Bernie Sanders,29442313,bottom&wealth,family
453965455,David Stearns,262595846330261506,RT @EvaLongoria: Morning Floridians! In Orlando and Tampa today! Don't forget early voting started! Go vote from now til Nov 3rd! http:/ ...,129,262578376060067841,Eva Longoria,110827653,NONE,NONE
453965455,David Stearns,262595976076881920,"RT @DWStweets: Great to see so many South Floridians voting early. Visit http://t.co/gz9xaMrS for where you can vote early, too! http:// ...",69,262580270107070464,D Wasserman Schultz,115979444,NONE,NONE
453965455,David Stearns,262790235618951168,RT @EvaLongoria: Bye bye Florida! Don't forget to early vote! I'm dead tired from the weekend but totally worth it meeting everyone wit… ...,92,262728914055598080,Eva Longoria,110827653,NONE,NONE
453965455,David Stearns,263385198350180352,RT @EmWatson: To everyone affected by #sandy my thoughts are with you. Hope everyone is ok. Xx,5927,263252125017067520,Emma Watson,166739404,NONE,NONE
619485464,∞ infinite,258257029104275456,RT @EmWatson: Elle Women in Hollywood awards was so warm and inspiring tonight. It made me want to start being the woman I want to be .. ...,1468,258116984640770048,Emma Watson,166739404,warm&start,NONE
619485464,∞ infinite,258257149904433152,RT @EmWatson: GO SOPHIE !! http://t.co/ItnF1Tk6 @sophiesumner,720,258000040663072768,Emma Watson,166739404,NONE,NONE
619485464,∞ infinite,258719807376089090,RT @EmWatson: Ok.Few things to clear up.I was not terrified by a stalker in the woods.And he was not fought off by martial arts experts. ...,2202,258400318184910849,Emma Watson,166739404,NONE,terrified
619485464,∞ infinite,258720065074118656,RT @EmWatson: Hope this clears some things up! : ),1295,258401550848901120,Emma Watson,166739404,NONE,NONE
619485464,∞ infinite,259087401765449728,RT @EmWatson: Cat Power - Jukebox .,1255,258747608657436672,Emma Watson,166739404,NONE,NONE
233341959,Stephanie Weiher,256475782354964480,RT @billprady: Why pink?  October is Breast Cancer Awareness Month.,53,255739947275931648,Bill Prady,59524045,NONE,NONE
233341959,Stephanie Weiher,258629250729537536,RT @billprady: Table in the #BigBangTheory writers' room. http://t.co/fPDzuoz7,206,258331330092351488,Bill Prady,59524045,NONE,NONE
